"","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets"
"23",94279095.5579121,94381501.5256063,54208835.8085374,55645511.417317,56401819.9354529,57070721.207896,100138687.129123,100184191.156691,98015874.604747,98812998.8295642,68372982.5541034,72511183.4883645,94854301.3937127,95019582.6670808,94979986.9363134,95153206.1567313,89499617.0083914,90316463.7659994,107499702.449886,109439450.290182,103565228.082612,104445993.235502,99873185.3359247,99953174.1063191,64686187.7922657,68096421.5103606,96902396.6285192,96999471.0698395,98732695.0113011,98795369.4985096,89759791.2282578,90919693.3393844,88455515.7409455,89469401.4062706,85308395.6064721,87013051.2429741,54889981.1245298,61698593.1832637,878740.111162074,943916.40179305,9344554.30293716,9438246.77053502,94279095.5579121,94381501.5256063,943204464.78284,943814054.95046,9387692997.32594,9438139621.0118
"24",95786868.2070776,95895853.0339194,55236218.5514036,56769396.6830432,57264428.1830632,57999941.1924492,101567199.518972,101614575.00229,104313872.191147,105164946.979524,66022261.0147841,70166448.3792547,92750352.9342079,92913331.9492876,94213958.2026764,94388576.5006915,89864526.7887124,90687168.8622138,113034693.248291,115188334.407005,107330906.080963,108296762.147331,101051203.56826,101138597.24058,64362944.8142819,67779312.450576,95100088.518015,95200451.4170209,100359097.965751,100424949.590403,95764561.9398847,97007038.0382798,92595001.7399377,93660189.7427619,88905817.2466779,90683456.9632545,52760502.3791596,59667113.5631929,888950.178708322,959054.401764677,9490806.95230169,9589675.30934449,95786868.2070776,95895853.0339194,958325433.241581,958957620.33295,9537536049.56266,9589575337.90859
"25",95538114.3780618,95651998.3980618,58218217.6866223,59939895.9542288,62823105.8460113,63698148.1767193,100154058.850142,100202941.422116,107701549.57456,108588597.083463,73969446.2461014,78955764.0176648,91750524.3830915,91914552.1745448,93409616.977352,93584354.1396234,88882111.0386696,89698415.0273431,107817684.659768,109980986.644252,107313705.422783,108353334.603677,100517743.483648,100609012.631062,72770521.8884715,77014541.4347685,93478481.9834142,93582263.1962626,98753192.8466492,98820749.1458939,95672449.411641,96949425.4389483,94432997.934874,95585406.5904164,90036140.464248,91855653.2687306,56813919.6762728,64544644.4386473,884615.139560466,956598.122458264,9461713.69490225,9565272.08228485,95538114.3780618,95651998.3980618,955860614.039812,956519237.726712,9511007058.0993,9565191683.39223
"26",95689483.953193,95810324.3108085,59527285.7030143,61358389.6548048,64376443.5725951,65302864.499585,100198545.300943,100249983.858185,110910428.632067,111848930.524727,74772391.2559213,80118425.3931438,90208182.5865931,90379675.7023242,92341765.653092,92521644.7883413,88603373.5687431,89446807.6513856,108920818.514914,111209616.760336,108409356.475249,109614675.041989,100210233.18307,100304453.918479,74320193.2905416,78809870.8652217,92218429.98888,92332535.1376312,98673799.4903156,98745636.7684471,97333173.4300074,98653400.0585837,95477682.7045665,96652088.6660571,92317457.0196687,94191061.3397358,57282048.1032639,65428091.8636381,881102.854676761,958179.350951078,9472363.43630925,9581101.20001717,95689483.953193,95810324.3108085,957267411.816868,958102533.822355,9510052100.11298,9581024677.06633
"27",93483129.2428983,93606269.5194121,56663064.2882995,58468825.8007037,61894673.9244823,62815788.2771614,98051163.7423797,98102971.9973009,107554377.430167,108469370.716969,74293780.1583035,79758577.4436207,89005742.3506088,89177645.7426242,91298584.7175244,91478906.191834,86553450.153289,87380082.5726161,104993536.962559,107325387.083604,104760030.404978,106030949.428225,98598120.8820728,98692718.5735447,73764765.1716167,78260581.580908,91176040.562082,91291146.5806635,96372525.9090822,96444555.7488717,93259509.9121306,94527054.6550864,90456744.6813511,91571508.1680427,90439754.8546202,92276809.7629416,55935034.0508273,64214321.3103821,856148.584953165,936147.555062171,9249827.06907998,9360705.88623462,93483129.2428983,93606269.5194121,935224164.960938,936061895.609327,9289637328.37066,9360618210.81814
"28",89597091.9484111,89720360.3645533,53434348.6180434,55193110.2065346,58155675.3369961,59081340.9603742,94491951.2857947,94543332.1478837,103103636.725519,103982810.841914,70865027.4817249,76220400.7789831,85750547.402816,85918564.4501697,88187592.3272103,88364263.2515298,83330313.3134144,84128162.5341562,100498681.27098,102805666.993771,98461742.9363805,99712229.6428139,95023256.0894787,95116289.985048,70845038.8015383,75194521.9913293,88642736.985515,88756919.0280093,92788201.0551161,92859363.6366531,89099957.0518134,90312735.2779659,85149623.135379,86200557.7503097,87754318.4051619,89538237.2401442,51042930.3355488,58893889.6082059,816460.339178103,897308.968838617,8860684.04431127,8972133.52204917,89597091.9484111,89720360.3645533,896391390.517917,897202626.724443,8903689126.12037,8972025319.03243
"29",86681365.6182497,86805842.5913505,49422269.2464962,51091510.48718,52652659.4917326,53526863.8091487,92433618.1376528,92485163.5949795,97982849.0978806,98823837.1792026,65132064.3087286,70242051.2518343,84953849.9332897,85122656.9671711,87205099.3512145,87382375.128687,81779201.0400863,82564512.6268982,93974843.928308,96274685.710577,94587672.5740045,95867908.6445396,93537551.978943,93630908.988325,65188025.0800542,69219371.4111118,87584933.2138697,87700044.1333527,90636998.6287315,90709134.6358017,81694404.7225352,82808819.8490227,77323418.9450078,78280002.5276907,83758182.2850811,85462619.3804205,47875988.8887361,55322852.3063476,786945.617072309,868188.242057909,8567714.49919919,8680704.88103613,86681365.6182497,86805842.5913505,867263078.20972,868057225.52046,8614062220.07603,8680571067.4354
"30",85140760.4328702,85268149.080694,46504436.0647052,48132259.2389038,50041085.8503856,50893064.7769555,91020533.6255499,91072557.9605663,96928289.3657053,97762511.1554583,63440764.2528705,68642625.8842369,83828676.8613511,83996529.2936525,86061341.4164674,86237575.2147053,78810571.6920801,79569235.6179163,92441831.1757426,94983874.2207401,92697003.3968391,94018872.5763637,92413073.5250883,92507190.7374625,64471171.271714,68502667.8402253,86337505.440881,86452384.5617408,89335654.401655,89409289.3916128,80653793.2220563,81757654.692733,75534196.4289633,76471065.1012933,82911196.5359522,84600240.5375417,46371310.7935092,53652927.5381696,770183.972199034,852816.301332144,8410903.95277814,8526941.03335455,85140760.4328702,85268149.080694,851891313.62465,852680236.79224,8461101238.04775,8526801121.57682
"31",78685678.9180668,78808780.3035317,41426141.7880679,42901115.1963655,47534932.6363835,48404170.7308725,83431302.0771204,83488587.8523958,92331132.7374405,94115794.087054,60443863.5464452,65595543.0057866,74357507.2510473,74569373.8629214,77950055.1867862,78167680.0382871,70360920.8109013,71350678.3006148,89655697.7828542,92361496.2301792,86769153.3452636,88037382.8196042,85099251.4488635,85191505.4488637,61987129.8874411,67378363.3717721,76210152.3866097,76339713.291526,81888577.5123159,81958946.2105796,77596708.1307063,79129843.1157623,73394826.3138129,74652402.7699167,77757047.2548395,79998186.434036,42325823.7944181,49026154.5676576,708310.824045132,788229.904280099,7768453.22222577,7881010.69403662,78685678.9180668,78808780.3035317,787351641.733072,788086495.208004,7820105262.43585,7880863645.6586
"32",71942330.0202066,72060361.4288415,38482317.068543,39891488.5230601,43568706.8719448,44419623.9894063,76380422.4658274,76434992.9285137,85998304.2433583,87748428.18864,53996536.3552285,58795420.985559,67801316.8064769,68001369.0786329,71525397.4544897,71731213.2260827,63247628.5820607,64170597.89633,81395923.2143792,84139304.934449,80000609.1798082,81212952.5678787,78063519.5073852,78150819.996774,56671603.4741556,61740364.6573387,68706094.6505649,68827185.7822865,75254887.1438912,75322387.8061716,74896932.7500582,76394635.0002594,66544262.0331914,67721734.5256998,71337303.8371824,73452319.1800512,38814485.7434102,45143418.117513,643410.287066955,720765.393003041,7097857.8878248,7206187.80264134,71942330.0202066,72060361.4288415,719919689.539357,720602146.964607,7149971329.69347,7206019982.83685
"33",63790954.6408818,63901194.8184482,32228742.8991349,33443709.9817478,37184548.3941104,37962026.9165082,67260591.0157928,67310045.6925668,79696269.7558909,81345260.2462187,49906317.3804663,54433907.7363007,57668084.6528904,57839680.24287,61038600.0548209,61215682.5032447,53395211.0267298,54175933.9640358,74365181.6776728,77085530.3964226,76716546.8430239,78021245.3932467,69608238.5791813,69689294.3401802,51724589.4735196,56353207.6264479,58179383.2350306,58283399.9704376,66053286.8974563,66114572.6566792,70335714.5881951,71745134.6942716,61434719.9146828,62530649.7202744,65566306.2267272,67511898.7300294,34930596.998238,40791488.9052147,565968.075167545,639187.002162872,6288680.08540529,6390280.36023323,63790954.6408818,63901194.8184482,638396799.31127,639010352.485056,6340121553.1932,6390101938.48967
"34",74684096.195117,74817326.1989726,38116239.2574876,39623183.3620532,44007054.0686198,44950649.0417145,79215776.5283333,79275049.1426653,85965516.9266801,87743505.3869302,54735125.4023331,59878555.3277766,67902301.075895,68105390.1277071,71318620.2908542,71526583.6141965,64391127.8043311,65333630.8457683,87281515.3775682,90653973.5358315,87299274.7181888,88824990.092677,81014351.1591099,81112478.4714625,56985120.100614,62085736.6423342,70605092.0347999,70732729.2528093,77970890.9133874,78045303.2715792,79829761.4196248,81430320.9513484,69945399.8656604,71194704.1793361,76468798.121436,78738982.6016823,41242872.0500706,48292802.0546011,659293.074356403,748334.643443579,7358806.55046902,7481883.89149104,74684096.195117,74817326.1989726,747445716.167279,748171817.064252,7422843758.05732,7481716765.69107
"35",71563331.0046228,71696276.0212661,37048715.1664535,38596829.7232635,42912253.7214716,43849981.2052217,75625935.2481615,75683934.8338554,82429679.3084722,84162039.5609307,51360516.772159,56348855.0022711,64370057.4532173,64564015.6480975,67433282.4954349,67635643.7383966,61650336.5264867,62555054.7066647,84671540.7711326,88094195.8131996,84214613.8232552,85832876.4440214,76940912.9856743,77038292.0736113,54504762.9393019,59444900.1685203,67124180.422209,67247228.4005135,74583178.1328053,74656253.2921858,77451093.7757951,79006836.3310104,68360780.3570498,69584934.8828469,74557486.9739413,76773787.8180338,40522993.6876244,47633316.7429198,627711.359290622,717126.727262272,7046678.97431686,7169781.31862385,71563331.0046228,71696276.0212661,716250259.244499,716961295.506408,7112213507.56052,7169611506.09829
"36",69922861.868967,70057879.042681,34996727.0129553,36486718.8467478,39595874.720763,40503250.7387485,74209371.747837,74267577.7468195,79969098.3269309,81652665.1800328,47994377.5467083,52774190.2371924,62082058.3573689,62270494.766826,65284474.971609,65481973.6008043,58293133.9274453,59150117.9688074,84302866.3529342,87880234.564482,83998840.786387,85659198.8817673,75798472.9505426,75896838.4430163,51056276.5107932,55691095.6667236,64306010.2497953,64425265.1112831,73155202.2696879,73228463.620144,76909513.2616245,78456022.2509074,66698995.3065212,67895262.7364375,73689136.8065966,75881057.0825259,38172347.1709628,45051108.6960529,608632.124064052,700753.166870789,6880602.07851717,7005949.49979447,69922861.868967,70057879.042681,699872138.339367,700577241.453492,6949173739.48945,7005770870.6858
"37",79213664.8625262,79371269.0452603,40503573.7431553,42243494.2496679,48630247.5898137,49810094.2123263,82674274.7744945,82741039.3470035,97837179.6095055,99999868.7849698,62029930.4662515,68706978.7318707,69922130.3385759,70136427.4098913,74089643.2490957,74315346.1186614,66576007.8063791,67557644.0634129,92223231.9858256,96360626.9040176,96415243.9899281,98356239.7912255,85493189.6555032,85610691.5932919,65735559.0811194,72153642.6408381,70913963.255665,71048146.7425288,81385864.2215184,81469245.1286079,87310954.8789221,89085757.1749616,77891688.1323099,79306051.4361294,84903831.3323751,87452556.6800259,46622935.8217235,55046922.8113453,686402.464990991,793857.583861681,7790945.54943128,7937261.47673509,79213664.8625262,79371269.0452603,792874758.382824,793711437.786099,7869703643.75603,7937113114.157
